Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std
Tajikistan,7510016.385,6923127.238,6996226341,5297820245,586889.1474,1698406096,1697819207,8.477226074,32.05858292,23.58135684,21,83,133,0,26.06083929
Tanzania (United Republic of),62931648.67,50936408.42,38220903385,29530121807,11995240.24,8690781578,8678786338,23.54944256,29.43022597,5.880783418,90,140,124,0,30.95121799
Thailand,173236437.3,147153327.1,3.79E+11,3.17E+11,26083110.25,61466000000,61439916890,17.72512438,19.38269036,1.657565976,112,122,97,0,84.25855675
Timor-Leste,839659.4313,515762.9371,1109000000,854000000,323896.4942,255000000,254676103.5,62.79949,29.85948478,-32.94000523,152,156,125,0,25.1387876
Togo,7011245.59,6467942.525,3626730618,3051036045,543303.0654,575694573,575151269.9,8.399936507,18.86882241,10.4688859,67,82,95,0,25.53311213
Tonga,304041.0695,229266.7156,371151991.2,356684132.7,74774.35389,14467858.5,14393084.15,32.61457019,4.056210292,-28.55835989,151,150,26,0,25.02322656
Trinidad and Tobago,11812406.34,13024441.12,22972510518,21445251800,-1212034.781,1527258718,1528470753,-9.305848669,7.121663724,16.42751239,43,16,37,1,28.56302945
Tunisia,24019071.08,21659182.03,46279699807,42556922174,2359889.05,3722777633,3720417744,10.89555943,8.747760512,-2.147798922,129,90,45,0,32.21337888
Turkey,243073117.3,205202715,8.46E+11,6.70E+11,37870402.34,1.76E+11,1.76E+11,18.45511759,26.34284349,7.887725906,81,126,118,0,157.5050494
Turkmenistan,29014740.45,23971804.48,31713468423,20680547525,5042935.969,11032920898,11027877962,21.03694769,53.34926885,32.31232115,9,130,152,0,29.93202982
Uganda,44780126.46,45077751.17,23745637611,19102581155,-297624.7133,4643056456,4643354081,-0.660247474,24.30591143,24.9661589,20,43,112,1,28.68411587
Ukraine,146164264,130708440.5,1.44E+11,1.31E+11,15455823.43,13220000000,13204544177,11.82465598,10.12786235,-1.696793636,127,98,52,0,47.47923958
United Kingdom,322976417.8,375214593.9,2.55E+12,2.38E+12,-52238176.18,1.62E+11,1.63E+11,-13.92221332,6.81432077,20.73653409,29,6,35,1,423.7798005
United States of America,2724596444,2707730347,1.58E+13,1.46E+13,16866096.63,1.21E+12,1.21E+12,0.622886863,8.277605723,7.654718859,84,49,43,0,2500
Uruguay,11244987.42,11723279.75,45897324290,37368653370,-478292.3276,8528670920,8529149212,-4.079850843,22.82306198,26.90291282,16,29,108,1,32.1534916
Uzbekistan,62619662.97,60154964.72,49777607129,36251401778,2464698.247,13526205351,13523740653,4.097248263,37.31222708,33.21497882,8,65,144,0,32.76121774
Venezuela (Bolivarian Republic of),99557169.42,106005693.7,4.39E+11,4.00E+11,-6448524.324,39396000000,39402448524,-6.083186758,9.855085515,15.93827227,46,24,51,1,93.74418843
Viet Nam,151257591.5,133220265,1.37E+11,1.09E+11,18037326.44,27723000000,27704962674,13.53947647,25.44912104,11.90964456,63,102,116,0,46.36834078
Yemen,24793651.72,23069311.47,28954923602,28696460069,1724340.253,258463533,256739192.7,7.474606493,0.900680894,-6.573925599,137,77,13,0,29.4999892
Zambia,14746246.8,11542128.35,24183235705,18373423325,3204118.452,5809812380,5806608262,27.76020465,31.62073979,3.860535139,100,147,131,0,28.75265206
Zimbabwe,17038723.94,15605863.34,12180644492,8459783044,1432860.594,3720861448,3719428587,9.181552875,43.98294175,34.80138887,6,86,149,0,26.87281784
